"Tabel 4.1.8 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Atas Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan,Murid  Jumlah,Guru Laki- laki ,Guru Perem puan,Guru Jumlah,Rasio Murid Guru
Batu Putih ,0,0,0,0,0,0,0,0,0,0,0
Wermatang ,0,0,0,0,0,0,0,0,0,0,0
Makatian ,0,0,0,0,0,0,0,0,0,0,0
Weratan ,0,0,0,0,0,0,0,0,0,0,0
Themin ,0,0,0,0,0,0,0,0,0,0,0
Welutu ,0,0,0,0,0,0,0,0,0,0,0
Rumah Salut ,0,0,0,0,0,0,0,0,0,0,0
Kamatubun ,2,2,7,7,77,82,159,3,9,12,13
Marantutul ,0,0,0,0,0,0,0,0,0,0,0
2012,2,2,7,7,77,82,159,3,9,12,13
